group,subject,trial,choice,reward,Q1,Q2,pA
1,1,1,2,0,0,0,0.5
1,1,2,2,0,0,0,0.5
1,1,3,2,1,0,0,0.5
1,1,4,1,0,0,0.321675486286358,0.290867990554844
1,1,5,1,0,0,0.321675486286358,0.290867990554844
1,1,6,1,1,0,0.321675486286358,0.290867990554844
1,1,7,2,1,0.321675486286358,0.321675486286358,0.5
1,1,8,2,1,0.321675486286358,0.53987585409515,0.353313942078701
1,1,9,2,0,0.321675486286358,0.687886512481188,0.26608961681411
1,1,10,1,0,0.321675486286358,0.466610284068975,0.400945168949676
1,1,11,1,1,0.218200367808793,0.466610284068975,0.334434347923379
1,1,12,1,1,0.469686144672395,0.466610284068975,0.502130333922815
1,1,13,1,1,0.640275111969295,0.466610284068975,0.618012863979245
1,1,14,1,1,0.755989790255878,0.466610284068975,0.690337828738957
1,1,15,2,0,0.834481893134154,0.466610284068975,0.734807827080273
1,1,16,1,1,0.834481893134154,0.316513194034872,0.807676749584401
1,1,17,1,1,0.887725010649423,0.316513194034872,0.829556802332127
1,1,18,1,1,0.923841122446565,0.316513194034872,0.843241348343382
1,1,19,1,0,0.948339566418589,0.316513194034872,0.852005328944651
1,1,20,2,1,0.643281975226296,0.316513194034872,0.71203388386108
1,1,21,1,1,0.643281975226296,0.536374144714014,0.57350799460927
1,1,22,2,1,0.758029419312486,0.536374144714014,0.648869901992153
1,1,23,1,0,0.758029419312486,0.685511217168062,0.550057982371084
1,1,24,2,1,0.514189937235777,0.685511217168062,0.383521029189944
1,1,25,2,0,0.514189937235777,0.78667454931713,0.31975598739657
1,1,26,1,1,0.514189937235777,0.533620631116441,0.486545513875878
1,1,27,1,1,0.670463125418264,0.533620631116441,0.593658300279033
1,1,28,2,0,0.776467059798631,0.533620631116441,0.662126165507151
1,1,29,1,1,0.776467059798631,0.361967955109627,0.759206012846142
1,1,30,1,1,0.848372127038925,0.361967955109627,0.793726790765286
1,1,31,1,1,0.897147096808245,0.361967955109627,0.814974670679783
1,1,32,1,0,0.930232354458416,0.361967955109627,0.828399147935741
1,1,33,1,1,0.630999409478702,0.361967955109627,0.678159571271097
1,1,34,1,0,0.749697853874594,0.361967955109627,0.745389090387168
1,1,35,2,0,0.508538432161645,0.361967955109627,0.60014275295871
1,1,36,1,1,0.508538432161645,0.245531737129659,0.674505818909147
1,1,37,1,0,0.666629570987104,0.245531737129659,0.76253218032824
1,1,38,1,0,0.452191179566961,0.245531737129659,0.639346954240037
1,1,39,1,1,0.306732361985357,0.245531737129659,0.542286413741354
1,1,40,1,0,0.529739566570312,0.245531737129659,0.687266662100425
1,1,41,2,0,0.359335333888683,0.245531737129659,0.578174093214509
1,1,42,1,1,0.359335333888683,0.166550196189742,0.630437322998558
1,1,43,1,1,0.565421451906527,0.166550196189742,0.751202494625429
